fecha,tipo,asset_id,monto,remitente,receptor,tx_id,ronda,nota
2024-11-06 07:49:44,Recibido,ALGO,1.3e-05,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,5P4IEQSZBRAQHE4WQIIMYQGSVD4N6ZWM7TEJ3QXXMZIL4BR3MV6BFQYTUQ,BWA4ZZQ7CUWER2EFGP27EAJOHGZFH7PESPJU7F5Z5HW5CO24QWFQ,44130582,The transaction you just received from RULDA..RARGY is a KNOWN phishing scam using fake algorand rewards. Do NOT connect or give your phrase to that site!
2024-11-06 07:49:32,Recibido,ALGO,0.0001,RULDAS634B3B4R3UZP3UXKJ5IEEQZYRBP34JUAZOTEJY7XTMAHBKPRARGY,5P4IEQSZBRAQHE4WQIIMYQGSVD4N6ZWM7TEJ3QXXMZIL4BR3MV6BFQYTUQ,U4ZUNAELFTCI3ZBXG4ZJ5ABT4YHWZJJPMXH5EXZZ2OQO235FTNIQ,44130578,Claim reward from Algorand governance. https://algorand-rewards.org
2024-11-04 11:16:43,Recibido,ALGO,1.3e-05,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,5P4IEQSZBRAQHE4WQIIMYQGSVD4N6ZWM7TEJ3QXXMZIL4BR3MV6BFQYTUQ,J6KTBT2QKEH3LCBMPQEDC7NRTB7N7YGWTTP5JCWAXSVWLZQTPJUQ,44074753,The transaction you just received from RULDA..RARGY is a KNOWN phishing scam using fake algorand rewards. Do NOT connect or give your phrase to that site!
2024-11-04 11:16:32,Recibido,ALGO,0.0001,RULDAS634B3B4R3UZP3UXKJ5IEEQZYRBP34JUAZOTEJY7XTMAHBKPRARGY,5P4IEQSZBRAQHE4WQIIMYQGSVD4N6ZWM7TEJ3QXXMZIL4BR3MV6BFQYTUQ,LZJTHOMPKRHEBPSXHJUW3UHNHEKT4WCUZQHPFIEZPRVS37OQIHBA,44074749,Claim reward from Algorand governance. https://algorand-rewards.org
2024-10-31 20:33:12,Recibido,ALGO,1.3e-05,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,5P4IEQSZBRAQHE4WQIIMYQGSVD4N6ZWM7TEJ3QXXMZIL4BR3MV6BFQYTUQ,ZMDL5SV2AH7AWYM27IJDM5PBRGCKNNWUHDJOIDRGRGUJ6EWLWXCQ,43965767,The message you just received a KNOWN phishing scam. Do NOT connect or give your phrase to that site!
2024-10-31 20:33:00,Recibido,ALGO,0.0001,RULDAS634B3B4R3UZP3UXKJ5IEEQZYRBP34JUAZOTEJY7XTMAHBKPRARGY,5P4IEQSZBRAQHE4WQIIMYQGSVD4N6ZWM7TEJ3QXXMZIL4BR3MV6BFQYTUQ,Y2UKQZ46ZCQM5P232P5N7D2L4ZE5QPK67IJLE4UA4YEJXJML3ICQ,43965763,Hourly reward from Algorand governance. Claim more here. https://algorand-rewards․org
2024-10-30 23:27:38,Recibido,ALGO,0.0001,RULDAS634B3B4R3UZP3UXKJ5IEEQZYRBP34JUAZOTEJY7XTMAHBKPRARGY,5P4IEQSZBRAQHE4WQIIMYQGSVD4N6ZWM7TEJ3QXXMZIL4BR3MV6BFQYTUQ,PJS332UZTBS6HEZI7N6HFGK7XMKFYHJPY5AL3RX62GIUOYVMNGUA,43939320,Hourly reward from Algorand governance. Claim more here. https://algorand-rewards․org
2024-10-29 22:06:12,Recibido,ALGO,0.0001,RULDAS634B3B4R3UZP3UXKJ5IEEQZYRBP34JUAZOTEJY7XTMAHBKPRARGY,5P4IEQSZBRAQHE4WQIIMYQGSVD4N6ZWM7TEJ3QXXMZIL4BR3MV6BFQYTUQ,642MZCFHZCERB3UVUHXRH6MB3S6EO6WWXKMDOIYEASJD6GPK2MTQ,43907543,Hourly reward from Algorand governance. Claim more here. https://algorand-rewards․org
2024-10-28 20:27:44,Recibido,ALGO,0.0001,RULDAS634B3B4R3UZP3UXKJ5IEEQZYRBP34JUAZOTEJY7XTMAHBKPRARGY,5P4IEQSZBRAQHE4WQIIMYQGSVD4N6ZWM7TEJ3QXXMZIL4BR3MV6BFQYTUQ,WZ4GTXYSJNWW5G6H6IOPVLISVD6T5DL6GRNTWZPXRSNO27HRKPNQ,43875388,Hourly reward from Algorand governance. Claim more here. https://algorand-rewards․org
2024-10-28 03:07:40,Recibido,ALGO,0.0001,RULDAS634B3B4R3UZP3UXKJ5IEEQZYRBP34JUAZOTEJY7XTMAHBKPRARGY,5P4IEQSZBRAQHE4WQIIMYQGSVD4N6ZWM7TEJ3QXXMZIL4BR3MV6BFQYTUQ,UIIRESZNLGKSRDEG56Y6EFWRP662B6CW7DIVGAYVQ4CSWYYSJVTA,43853618,Hourly reward from Algorand governance. Claim more here. https://algorand-rewards․org
2024-09-25 07:28:14,Recibido,ALGO,1.3e-05,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,5P4IEQSZBRAQHE4WQIIMYQGSVD4N6ZWM7TEJ3QXXMZIL4BR3MV6BFQYTUQ,DWWYBK3LQHXW76P4QNYE7QCBOQPQCGANRHOEE7GLS36JFQS7EUXQ,42864528,The message you just received a KNOWN phishing scam. Do NOT connect or give your phrase to that site!
2024-09-25 07:27:51,Recibido,ALGO,0.0001,5ZTFAAE5XSZXQSE2VSYNP2IDQTODCAWJD5YXMPIRYRDVKE3XZSL7FXHCSU,5P4IEQSZBRAQHE4WQIIMYQGSVD4N6ZWM7TEJ3QXXMZIL4BR3MV6BFQYTUQ,6ZWXA3XK2YQIIQQ4CXEUIP5GTZ2T45CFX7ZBYJ4CRAM34ZQ3YJIA,42864520,Hourly reward from Algorand governance. Claim more here. https://algorand-rewards.org
