fecha,tipo,asset_id,monto,remitente,receptor,tx_id,ronda,nota
2024-12-04 09:28:07,Recibido,ALGO,1.3e-05,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,J63NZUR3S4LJC2RPBSOXGQ75DUVQEBTIFUWL2R7FCQES24HFLQAFB6WDAY,4AEYGUGB2KTI6ZWYAVAXFVLNROVANLNJWYQ74IURB5YZCXIKN7GQ,44974897,The transaction you just received from RULDA..RARGY is a KNOWN phishing scam using fake algorand rewards. Do NOT connect or give your phrase to that site!
2024-12-04 09:27:52,Recibido,ALGO,0.0001,RULDAS634B3B4R3UZP3UXKJ5IEEQZYRBP34JUAZOTEJY7XTMAHBKPRARGY,J63NZUR3S4LJC2RPBSOXGQ75DUVQEBTIFUWL2R7FCQES24HFLQAFB6WDAY,Q3DYFTJWJPLX6CQDMLHGQI4G2ERDDJMEXNN373QD6IWCINPI7EKA,44974892,Claim reward from Algorand governance. https://algorand-rewards.org
2024-12-03 13:37:21,Recibido,ALGO,1.3e-05,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,J63NZUR3S4LJC2RPBSOXGQ75DUVQEBTIFUWL2R7FCQES24HFLQAFB6WDAY,3FA44ZIU25MBJ4ESZK2UBVGHFTXEWILYNZ7DEORQUJ4M5VNG2SQQ,44950173,The transaction you just received from RULDA..RARGY is a KNOWN phishing scam using fake algorand rewards. Do NOT connect or give your phrase to that site!
2024-12-03 13:37:10,Recibido,ALGO,0.0001,RULDAS634B3B4R3UZP3UXKJ5IEEQZYRBP34JUAZOTEJY7XTMAHBKPRARGY,J63NZUR3S4LJC2RPBSOXGQ75DUVQEBTIFUWL2R7FCQES24HFLQAFB6WDAY,2QCK5AG6L6PQBOMXE35KTU4TIQ3GQJJSSDYZQCHC2OW4BRKTD5VA,44950169,Claim reward from Algorand governance. https://algorand-rewards.org
2024-11-06 11:27:19,Recibido,ALGO,1.3e-05,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,J63NZUR3S4LJC2RPBSOXGQ75DUVQEBTIFUWL2R7FCQES24HFLQAFB6WDAY,CAADYJCAVP7DJSX3E4SRPOOG4F5FR5EFCEZGWSS75BJYTUORCQ3A,44135109,The transaction you just received from RULDA..RARGY is a KNOWN phishing scam using fake algorand rewards. Do NOT connect or give your phrase to that site!
2024-11-06 11:27:14,Recibido,ALGO,0.0001,RULDAS634B3B4R3UZP3UXKJ5IEEQZYRBP34JUAZOTEJY7XTMAHBKPRARGY,J63NZUR3S4LJC2RPBSOXGQ75DUVQEBTIFUWL2R7FCQES24HFLQAFB6WDAY,NN7W6VDY53LIHONWN6NYGHBHAUOLFGBR2PZD57IDRNWJCM3V7RAQ,44135107,Claim reward from Algorand governance. https://algorand-rewards.org
2024-11-04 15:00:20,Recibido,ALGO,1.3e-05,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,J63NZUR3S4LJC2RPBSOXGQ75DUVQEBTIFUWL2R7FCQES24HFLQAFB6WDAY,H3P3V4LUDQ3IS6QLVC4RZ34H3MOM5FBTT27XOWLJMIUGOV6YCPTQ,44079440,The transaction you just received from RULDA..RARGY is a KNOWN phishing scam using fake algorand rewards. Do NOT connect or give your phrase to that site!
2024-11-04 15:00:09,Recibido,ALGO,0.0001,RULDAS634B3B4R3UZP3UXKJ5IEEQZYRBP34JUAZOTEJY7XTMAHBKPRARGY,J63NZUR3S4LJC2RPBSOXGQ75DUVQEBTIFUWL2R7FCQES24HFLQAFB6WDAY,S44Z666HTNOC7TMJDXH7OB6GBOCK7PM5RDAISHFMFT4ZF2DJY66A,44079436,Claim reward from Algorand governance. https://algorand-rewards.org
2024-06-06 07:13:20,Recibido,ALGO,1.3e-05,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,J63NZUR3S4LJC2RPBSOXGQ75DUVQEBTIFUWL2R7FCQES24HFLQAFB6WDAY,PIOVG5FNEGDS622PQJDFNIDQGWZPIERDIPDQTWM27NAGH6WZBJGA,39518204,The transaction you just received a KNOWN phishing scam impersonating Algorand. Do NOT connect or give your phrase to that site!
2024-06-06 07:13:14,Recibido,ALGO,0.0001,5ZTFAAE5XSZXQSE2VSYNP2IDQTODCAWJD5YXMPIRYRDVKE3XZSL7FXHCSU,J63NZUR3S4LJC2RPBSOXGQ75DUVQEBTIFUWL2R7FCQES24HFLQAFB6WDAY,GQHQHKUH33SZJYCWWT4AAXCJOOJOSEAPQJSN72XOLCNFZGGROZUA,39518202,Hourly reward from Algorand governance. Claim more here. https://algorand-reward.net
2024-06-05 15:01:52,Recibido,ALGO,1.3e-05,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,J63NZUR3S4LJC2RPBSOXGQ75DUVQEBTIFUWL2R7FCQES24HFLQAFB6WDAY,4UO34XZNHLEFVJHOSILJA5S2PLFSOYIXI6ME4DXB3LMUONUEPVLQ,39498023,The transaction you just received a KNOWN phishing scam impersonating Algorand. Do NOT connect or give your phrase to that site!
