address,balance,total_assets_value,transaction_count,total_volume,avg_transaction_size,sent_volume,received_volume
ASHPGJPHCZMSVBBUVFOVTSIYFKCR26STPOVPU4GWACKTZT35ZQYBSE775U,43479528.881032,0,6,0.000339,5.65e-05,0,0.000339
ALMEZURUOG7R2QKPZIPNQAFANRQEZU4J22ZJYW6HARU4IZCZGEHNTZMO6U,28967355.324413,0,0,0,0,0,0
ASDNGCOKPWDF3IFVNGVYTRC4EBU4RGFBIX4PVFMBVUM3T4WIKID5GABY3Y,13136968.996766,0,72,17036957.478712,236624.40942655556,7200000.0,9836957.478712
AQTA3Y5FNLWFTBT5RIO5E6YB4XPIVZCMRBLXUVXGOPDUP66OCEQSQHZLUU,5188320.919192,0,33,972728.476214,29476.620491333335,333000.0,639728.476214
AXEBMIKOJPPVGCEVPFWQDBPOKH4IPOL26GRQLOQS3XOROBZ5GCT22LUXL4,3851211.000478,0,13,3851211.000478,296247.0000367692,0,3851211.000478
AWFFPB6HG2BCTQ3KTUXZ5G2UKU3WIFRLXT7XUAOWFFET7CPS44VCPVSLRI,3000009.996956,0,5,0.00022600000000000002,4.52e-05,0.0,0.00022600000000000002
AHEJAOE2W3OLQIWSLP5CVWNNALSOMWWKJEDH23LEKRVVKA4QM6QX4OKISE,2809413.680009,0,91,335104.417934,3682.4661311428576,0,335104.417934
ADMUWZYHKO44A22O6J4YHZOIGK675LHMKRMQYEYVP2MHTKVPGELGXUM2RE,2039587.869434,0,5,140.000113,28.0000226,0.0,140.000113
ATBJFHENXPHD7RZHHDWHQVNW2AJJ4WJP6Z5OXRVKYYAEFIBDYSSLM7YUWY,1714827.404903,0,14,120500.000565,8607.1428975,35500.0,85000.000565
AKZ6ZG55YRAA4GY2HIFTFUFJSW3VLGIMZVEF5IAGGO5U3Z27SPG7OXHUGU,909920.367405,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
ACBEJ2YD4BCZUKDC4JKEDVFFQJTQ5B3CACU5T46II4J65HBCJBDYUTPWZM,863529.918793,0,9,301375.800452,33486.20005022222,0,301375.800452
AXSAS7GFP5GDD4HO2L3RT3PD2MZ4IM7EQMIGBB6BBP63CNQRSLRIJQAGT4,773506.863291,0,2,0.00011300000000000001,5.6500000000000005e-05,0,0.00011300000000000001
AN4WVPBVTNL2GJHJ347SIZ76SVDYSJJOUHME6Z5BUHMT3WWAKNZUQBPTZE,761478.142565,0,26,2305671.225534,88679.66252053846,1197073.801404,1108597.42413
AQM76G4GKHMSZWUIPZTZLPS5A65JPTVAYLDIWW26H7CRCY4YN4SZZUVCMU,697117.026271,0,6,0.000339,5.65e-05,0,0.000339
AGRCEREYU4CSFUWRBVKVXMP3FMGQ6GSYNNMONALLDISPHVUP3PRU7M4V3U,629662.692201,0,6,0.000339,5.65e-05,0,0.000339
ASSXSOJLR45RH2RJ2BPWJZZ5SSWMRJA3IXPKK25VTJEZXUWWWTCG6FTEQA,550000.36468,0,6,0.000339,5.65e-05,0,0.000339
AIUJHFRAAFAKWEDML6Y5X4K422Q4ZKJDZAF5GPZZG6HH7V5U5CEGM7XIFE,542767.368102,0,5,0.00022600000000000002,4.52e-05,0.0,0.00022600000000000002
ANS7Y5KHGQUEVISVF4KGDWH7CLFBDLXF5XVV7UMJCSHJ6XS6I3BWZJ5R6Q,535600.374638,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
ALMNVN6OKIYVRVJCJM4J2QP4BZM7GSUEBQYPIM7NUTTUKCS663SG6MDC2U,509294.537434,0,27,584849.718814,21661.100696814814,164021.031663,420828.68715099996
ABFROHFAC3FJABERUX5WLGJJG5SMYLBC4JB5FYOJOEQ3ZBWRPBN5VUFJVY,427260.318123,0,68,637356877.253923,9372895.253734162,217.29265,637356659.9612731
AKT7Q6IWY3HYWF4F6MYOQUJL5HWARFL43SPMEMS4HVADWTDO3JNRTGQSNU,401225.866638,0,6,0.000339,5.65e-05,0,0.000339
AEV4AERXI4WTLKZUKXJEFJICXYC2I4IGMMFYD2DIV63RBSII2TXREBEHJM,400352.717747,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
AMKWNDFAJUFXY3BDE3IUBG2BA7F5TO3Z6B4XOQ6PFKPX46GGGTCMXVZ2WM,400000.366728,0,8,0.00045200000000000004,5.6500000000000005e-05,0,0.00045200000000000004
AGKF4P273DICGTWHUSMJFUMZEWNSTGZWWGNSZ45RVFKRKLLCY5QJYSIBWE,400000.001191,0,6,0.000339,5.65e-05,0,0.000339
AA3R22OUWXPJQQ3XAW4LSS6IBSWHLJT7VVCRYEZKO6NV6UF2YTTJVVHITM,377007.311849,0,6,0.000339,5.65e-05,0,0.000339
AVN7Y3AEH6HOKH3VGDSW6NILCLXYNDDWMLY2UA5OT4YVRBWDC5EZSPC7JM,339749.869945,0,9,0.000339,3.766666666666667e-05,0.0,0.000339
AGBVPH3PDFYFF2YYCILXIMYOQ4T4GSQXI7YBEIJ2GAEMJNQSZCK6RN6HUE,327143.577213,0,8,1200.000339,150.000042375,1200.0,0.000339
AOMKYGS7EHG5B2SL45ONWAEE7HLIFG4QCV6MTWOAXR73CLL7MBYGSGBYDY,302323.647693,0,7,0.000339,4.842857142857143e-05,0.0,0.000339
AJTTNBHNSZ2EKIBVGGMT7HK4AL46ASYFRI5TI6L6T4HDRNTCTY67IPGR4Y,278313.62519,0,0,0,0,0,0
APC5V45QJMLLJF2MG66IOWD6KA5OYPWZDLZA76MSQK5TU7UT3EES7UC4QA,269253.373609,0,8,0.00045200000000000004,5.6500000000000005e-05,0,0.00045200000000000004
AJU3JG7BT5HUDB7HHVK27K3JLJ44RNS2T5X5J7ZLBZQ4M2IXABKUSICLCQ,264125.63685,0,8,10.000352,1.250044,10.0,0.000352
AXKCE4MXLRGFTUBQY7PMQDBIDNNFRKBERZN2RCYL7RMH6NAEX5SWAERFYY,260338.230255,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
AJAXWTC3BMRSRFSOWBCVFDAFVMTP5KJYBMLUHBSCCZCD2V2OCYYCNT2S6A,255400.375669,0,6,0.000339,5.65e-05,0,0.000339
ANT32IBKRARUJQQTZN7CANWDHOXGDJYXKYQRTW6VAJDOU2F64HRUZCOQEQ,251356.902728,0,6,0.000339,5.65e-05,0,0.000339
AFH6CTI3MCVHWNNFN5GMEM3OWXKPWFKUHFR7JKKWWPHFJ6DI2UEFJX2LJI,249594.573836,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
ALGGBHITIGLAAHEAHHDUZQG6T3LBGUL57ETUVVNQR6WYKMJ5ZACTPXXFBI,244590.822752,0,13,95803.935295,7369.533484230769,0,95803.935295
AFKV7YDY2622ATHZXVQPS2WHKTPO64SAJ3AANPVG636WKMO4BRALWFY3XA,243214.873197,0,6,0.000339,5.65e-05,0,0.000339
ALEYW5TJWB4GBXDCNOY6P6PTYEMBEEOWU7HGRWQYM23MNMCVXTH7QFNAMQ,240462.179262,0,10,1164.024044,116.4024044,664.023592,500.000452
AE7HTGGGWNZTWX2BYYI2MOUAHF4FNCD6EJN4TTHJ2VK73QHBTHWW2CBZTI,239746.139866,0,221,2160387.619205,9775.509589162895,0.0,2160387.619205
AUEWBTT4GRQGEZ7YPQ5KW55ZPK4FYJ2ZITM734XSCEJOGFUQVA3HJRFYSE,237777.36752,0,6,0.000339,5.65e-05,0,0.000339
AWVGPZLG6P6YBXYBB6X7K637WIE7LXEOIUU6HPMDPT27QPLOOOBE4NQW3Q,233248.172719,0,6,0.000339,5.65e-05,0,0.000339
AGQ7FS3I3ZWNUL2VGYKNP55MS6U22FPPBE3EZMHQH62DZ7O2DUQUTZ4N3A,220000.081161,0,8,1155.973921,144.496740125,1155.9736950000001,0.00022600000000000002
ANN6HAKPVT336VIXZFPJEUQQ3FI7I2GMTHX4QXOFNNWBXNUSAGIU2R4NCE,209965.320911,0,8,0.00036500000000000004,4.5625000000000004e-05,0,0.00036500000000000004
AVFEH6U5RQX2IGYBAXGJF5HASFVDE5VA7SHASDT3KSRSKODF35MWMGNFFI,200991.391415,0,6,0.000339,5.65e-05,0,0.000339
ABADC5YQY7VKCSNPFSPDKHOTEEYC76CFSKZVH7XFRMIIYTXE4Y26JIRHZY,191650.413335,0,0,0,0,0,0
AM4VSZQOIYPHBPUYIMVXJGUN2NDCKPBCZ434VTJS7AUKXR2P5LLMMALQAU,190777.68526,0,27,96261.673855,3565.247179814815,0,96261.673855
AV6PFVXWDQ7RVNQYOEXCWXCLXVJ5V57WVMVQZ2TWH4EKTB7GSWKUIAUPXQ,188165.942107,0,59,27873.259168999997,472.42812150847453,0.0,27873.259168999997
